name dummy x y z omega phi kappa
585621852 585621852 -639937.336 -1042774.784 235.529 -1.706 -3.123 80.349
585622171 585622171 -639936.595 -1042769.815 235.603 -1.58 -3.175 80.972
585622490 585622490 -639935.909 -1042764.822 235.683 -1.549 -3.089 81.609
585622809 585622809 -639935.272 -1042759.832 235.761 -1.53 -3.044 82.206
585623128 585623128 -639934.705 -1042754.855 235.832 -1.52 -3.006 82.963
585623447 585623447 -639934.185 -1042749.89 235.906 -2.139 -2.906 81.903
585623766 585623766 -639933.484 -1042744.954 235.966 -0.638 -3.507 81.653
585624085 585624085 -639932.881 -1042739.98 236.051 -0.324 -3.426 83.558
585624404 585624404 -639932.461 -1042734.983 236.115 -0.636 -2.884 84.659
585624724 585624724 -639932.109 -1042729.997 236.187 -0.943 -2.911 84.984
585625043 585625043 -639931.767 -1042725.02 236.256 -0.902 -3.271 85.396
585625362 585625362 -639931.48 -1042720.035 236.341 -1.077 -3.205 85.831
585625681 585625681 -639931.231 -1042715.065 236.423 -1.209 -3.162 86.431
585626000 585626000 -639931.043 -1042710.117 236.507 -1.659 -3.098 86.791
585626319 585626319 -639930.875 -1042705.185 236.587 -1.785 -3.058 87.194
585626638 585626638 -639930.742 -1042700.27 236.659 -1.796 -2.974 87.788
585626958 585626958 -639930.654 -1042695.376 236.734 -1.736 -2.957 88.218
585627277 585627277 -639930.603 -1042690.519 236.816 -1.983 -3.06 88.236
585627596 585627596 -639930.533 -1042685.676 236.894 -1.676 -3.099 88.348
585627915 585627915 -639930.486 -1042680.851 236.978 -1.699 -3.075 88.476
585628234 585628234 -639930.452 -1042676.046 237.056 -1.804 -3.112 88.564
585628553 585628553 -639930.429 -1042671.261 237.14 -1.967 -3.237 88.652
585628872 585628872 -639930.422 -1042666.481 237.228 -2.229 -2.774 88.776
585629192 585629192 -639930.417 -1042661.74 237.297 -2.23 -3.046 89.13
585629511 585629511 -639930.438 -1042656.993 237.365 -2.036 -2.773 89.479
585629830 585629830 -639930.49 -1042652.241 237.409 -1.95 -2.567 89.783
585630149 585630149 -639930.566 -1042647.48 237.443 -2.088 -2.762 89.748
585630468 585630468 -639930.637 -1042642.67 237.486 -1.912 -2.62 90.063
585630787 585630787 -639930.742 -1042637.82 237.514 -2.011 -2.845 90.282
585631106 585631106 -639930.859 -1042632.915 237.552 -1.83 -2.653 90.415
585631425 585631425 -639930.99 -1042627.982 237.578 -2.012 -2.712 90.425
585631744 585631744 -639931.119 -1042623.016 237.62 -2.131 -2.865 90.305
585632063 585632063 -639931.229 -1042618.006 237.656 -1.94 -2.37 90.226
585632382 585632382 -639931.339 -1042612.997 237.673 -2.077 -2.398 90.145
585632701 585632701 -639931.443 -1042607.974 237.686 -2.175 -2.473 90.11
585633021 585633021 -639931.545 -1042602.914 237.698 -2.238 -2.049 90.058
585633340 585633340 -639931.641 -1042597.836 237.697 -2.292 -2.016 90.043
